Battery#,Advertised Ah,Discharge Time (s),Discharge Time (h),Final Voltage (V),Total Ah
battery1,100,23670.0,6.58,0.005,20.725
battery2,100,28217.0,7.84,0.006,24.713
battery3,100,35665.0,9.91,0.003,31.564
battery4,100,39289.0,10.91,0.004,34.637
battery5,100,27964.0,7.77,0.001,24.574
battery6,20,8408.0,2.34,0.002,7.305
battery7,20,8271.0,2.3,0.004,7.173
battery8,20,6395.0,1.78,0.003,5.447
battery9,20,4286.0,1.19,0.004,3.614
battery10,20,8743.0,2.43,0.004,7.596
battery11,20,9153.0,2.54,0.004,7.88
battery12,100,44027.0,12.23,0.008,18.726
